Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 1500

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer    RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64     Float64      Float64      Float64       Float64     Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  160 │  1.16194    -0.894813     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.9125       0.96875                      0
  161 │  1.16194     0.100187     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.9125       0.96875                      0
  162 │  0.130552    0.00252417   0.121423      0.0586438    0.159795     0.161512   0.0677093   0.0650219      0.9125       0.96875                      0
  163 │  0.130552    0.00752417   0.121423      0.0586438    0.159795     0.161512   0.0677093   0.0650219      0.9125       0.96875                      0
  164 │  0.135552    0.00252417   0.121423      0.0586438    0.159795     0.161512   0.0677093   0.0650219      0.9125       0.96875                      0
  165 │  0.182744    0.0579462    0.188879      0.00834448   0.191051     0.146533   0.181267    0.0694286      0.9125       0.96875                      0
  166 │  0.182744    0.0579462    0.188879     -0.991656     0.191051     0.146533   0.186267    0.0744286      0.9125       1.0                          2
  167 │  0.182744    0.0579462    0.188879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.9125       1.0                          1
  168 │  0.187744    0.0529462    0.188879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.9125       0.9375                       0
  169 │  1.18274     0.0529462    0.188879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.9125       0.96875                      0
  170 │  1.18274     0.0579462    0.188879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.9125       0.96875                      0
  171 │  0.182744    0.0579462    0.188879      0.00834448   0.191051     0.146533   1.18627     1.07443        0.9125       0.9375                       0
