Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  117 │ 0.145672     0.0627966    0.0566343     0.0644857    0.0398342     0.065366   0.170549    0.0438647       0.920833     1.0                          2
  118 │ 0.154204     0.193197     0.174011      0.0738652    0.175026      0.15175    0.0778786   0.109516        0.920833     1.0                          1
  119 │ 0.104355     0.124636     0.010288      0.0537707    0.125048      0.169634   0.174299    0.0388591       0.920833     1.0                          2
  120 │ 0.167794     0.143006     0.0148597     0.0623213    0.0640772     0.0882099  0.0811818   0.0481599       0.920833     0.96875                      0
  121 │ 0.177948     0.118608     0.00992968    0.0411362    0.0586783     0.0671134  0.065018    0.0255198       0.920833     1.0                          3
  122 │ 0.182982     0.111146     0.0128968     0.0350818    0.0694601     0.088839   0.0746286   0.0197158       0.920833     1.0                          1
  123 │ 0.174312     0.117807     0.00772666    0.0613071    0.0599783     0.0663201  0.0869339   0.0160426       0.920833     0.96875                      0
  124 │ 0.0173215    0.0703867    0.102132      0.0580303    0.0970258     0.205648   0.14477     0.0380678       0.920833     1.0                          1
  125 │ 0.0183974    0.0879811    0.0950102     0.0355509    0.101969      0.186055   0.130757    0.0339559       0.920833     1.0                          1
  126 │ 0.0168211    0.0949383    0.0924745     0.0500394    0.103389      0.185617   0.143163    0.0358972       0.920833     1.0                          2
  127 │ 0.181997     0.0195563    0.124537      0.105667     0.138652      0.105077   0.183482    0.110571        0.920833     1.0                          1
  128 │ 0.19495      0.0346447    0.110805      0.101941     0.145894      0.121197   0.176876    0.130368        0.920833     1.0                          1
  129 │ 0.151135     0.0563315    0.0766707     0.0360775    0.134744      0.155337   0.0197429   0.0494147       0.920833     0.96875                      0
  130 │ 0.170904     0.0410941    0.11009       0.00766919   0.159244      0.166149   0.019442    0.0254597       0.920833     1.0                          2
  131 │ 0.173535     0.0702344    0.0892543     0.0204405    0.165014      0.161282   0.0186497   0.0315231       0.920833     1.0                          1
  132 │ 0.0578781    0.131917     0.0443187     0.082621     0.174674      0.181262   0.0902773   0.12243         0.920833     1.0                          2
  133 │ 0.0814545    0.0745212    0.158857      0.00540739   0.134643      0.103979   0.0715813   0.0324708       0.920833     1.0                          2
  134 │ 0.0279274    0.017226     0.141449      0.0148304    0.123898      0.188252   0.0299218   0.0389143       0.920833     0.96875                      0
  135 │ 0.161791     0.0343425    0.0965648     0.044201     0.1434        0.133013   0.133041    0.146628        0.920833     0.96875                      0
  136 │ 0.162626     0.169187     0.133882      0.0833369    0.116215      0.166546   0.0818039   0.0781038       0.920833     0.96875                      0
  137 │ 0.148331     0.087875     0.163139      0.00444503   0.185335      0.137078   0.0770766   0.0910401       0.920833     1.0                          1
  138 │ 0.0547396    0.0227965    0.00739434    0.189724     0.160364      0.182053   0.144495    0.0779669       0.920833     0.96875                      0
  139 │ 0.0891494    0.122576     0.0148985     0.0771466    0.158136      0.13053    0.183831    0.094325        0.920833     1.0                          1
  140 │ 0.161939     0.105187     0.15573       0.0175013    0.103173      0.135464   0.116401    0.0775203       0.920833     0.96875                      0
  141 │ 0.135552     0.00752417   0.121423      0.0586438    0.159795      0.161512   0.0677093   0.0650219       0.920833     1.0                          2
  142 │ 0.0594573    0.0668547    0.00795792    0.0502602    0.195434      0.150861   0.151906    0.10853         0.920833     0.96875                      0
  143 │ 0.123652     0.0252584    0.145114      0.0697399    0.0659658     0.18328    0.0863883   0.0807866       0.91875      1.0                          1
  144 │ 0.137536     0.0273966    0.148082      0.0528381    0.072158      0.193096   0.0780259   0.0779153       0.91875      0.96875                      0
  145 │ 0.165867     0.134047     0.136979      0.152593     0.0911165     0.168111   0.089025    0.0             0.91875      0.96875                      0
  146 │ 0.167223     0.118122     0.122721      0.163385     0.115955      0.196698   0.0733073   0.0108528       0.91875      0.96875                      0
  147 │ 0.188165     0.137756     0.0461547     0.0702216    0.140371      0.195031   0.0702872   0.0836024       0.91875      0.96875                      0
  148 │ 0.203263     0.137273     0.0474025     0.0801571    0.118338      0.189364   0.0930715   0.0763583       0.91875      0.96875                      0
  149 │ 0.200358     0.107457     0.0544902     0.075894     0.123707      0.194936   0.0999922   0.0832455       0.91875      0.96875                      0
  150 │ 0.0794095    0.088679     0.151986      0.00994596   0.120502      0.0862938  0.0557803   0.0200606       0.91875      1.0                          2
  151 │ 0.100488     0.0795787    0.152061      0.000789529  0.12138       0.111108   0.0845191   0.0198041       0.91875      0.96875                      0
  152 │ 0.0695363    0.0589536    0.155663      0.0          0.12324       0.089597   0.0659353   0.0270419       0.91875      0.96875                      0
  153 │ 0.011013     0.0          0.127299      0.0          0.113739      0.203083   0.0288514   0.0506544       0.91875      0.96875                      0
  154 │ 0.035087     0.0          0.131769      0.0327256    0.12117       0.177924   0.0336203   0.0503352       0.91875      0.9375                       0
  155 │ 0.0370395    0.0289132    0.121617      0.0266046    0.140951      0.175171   0.0324853   0.0323567       0.91875      1.0                          1
  156 │ 0.0338141    0.0          0.155546      0.0119437    0.131386      0.202595   0.0382064   0.0325549       0.91875      1.0                          1
  157 │ 0.0346242    0.000671304  0.131634      0.00862703   0.126264      0.20719    0.020612    0.0510503       0.91875      0.96875                      0
  158 │ 0.0241403    0.0197902    0.161346      0.000372985  0.109728      0.169329   0.0384541   0.0316335       0.91875      1.0                          1
  159 │ 0.0196656    0.02104      0.148651      0.0283562    0.109633      0.189005   0.0234193   0.0475916       0.91875      0.96875                      0
  160 │ 0.179453     0.0457851    0.111201      0.0415107    0.160419      0.128013   0.133366    0.151085        0.91875      1.0                          1
  161 │ 0.159525     0.0265276    0.114828      0.0315583    0.156671      0.120314   0.127245    0.129887        0.91875      1.0                          4
  162 │ 0.134194     0.0841399    0.173641      0.00519115   0.176461      0.119232   0.0961686   0.0790498       0.91875      1.0                          1
  163 │ 0.142697     0.0749039    0.168999      0.0186014    0.17384       0.153859   0.0610649   0.0712675       0.91875      0.96875                      0
  164 │ 0.16433      0.100689     0.15103       0.0          0.199398      0.152226   0.0902877   0.0845668       0.91875      0.96875                      0
  165 │ 0.138863     0.0883377    0.143161      0.0165285    0.171165      0.140926   0.0594409   0.0993119       0.91875      1.0                          2
  166 │ 0.158933     0.0947726    0.139537      0.0105614    0.0867036     0.118093   0.108761    0.0638415       0.91875      0.96875                      0
  167 │ 0.146614     0.0981803    0.142494      0.00458073   0.115723      0.132341   0.10168     0.0682913       0.91875      1.0                          2
  168 │ 0.123722     0.0103265    0.103015      0.0438059    0.164028      0.176714   0.077592    0.0835523       0.91875      0.96875                      0
  169 │ 0.120341     0.00624337   0.125976      0.0641056    0.179741      0.150975   0.0869366   0.0657764       0.91875      1.0                          1
  170 │ 0.072586     0.0808502    0.0           0.0325638    0.191437      0.154332   0.140428    0.0887014       0.91875      0.96875                      0
  171 │ 0.16856      0.0604378    0.192953      0.00557738   0.17988       0.130097   0.203349    0.0648794       0.91875      0.96875                      0
  172 │ 0.191111     0.0298703    0.0           0.0328241    0.107464      0.0924092  0.0608568   0.068205        0.91875      1.0                          1
  173 │ 0.172392     0.0311194    0.0           0.0218583    0.092589      0.0670676  0.0414867   0.050414        0.91875      1.0                          1
  174 │ 0.184391     0.11735      0.160105      0.118891     0.138135      0.178886   0.166139    0.0240494       0.91875      0.96875                      0
  175 │ 0.163717     0.136751     0.130249      0.0625967    0.120943      0.14385    0.187793    0.114974        0.91875      1.0                          1
  176 │ 0.174963     0.127399     0.144971      0.063569     0.12108       0.140428   0.191235    0.103574        0.91875      1.0                          1
  177 │ 0.138891     0.0643326    0.201042      0.173641     0.154264      0.19123    0.143012    0.0457226       0.91875      0.96875                      0
  178 │ 0.168776     0.171575     0.152109      0.0258813    0.0973639     0.0462528  0.00462324  0.0228874       0.91875      1.0                          2
  179 │ 0.19805      0.0371051    0.176696      0.0116351    0.0608563     0.118542   0.127297    0.0842052       0.91875      1.0                          1
  180 │ 0.184313     0.0481498    0.143853      0.0187739    0.0754837     0.125133   0.12477     0.115563        0.91875      1.0                          1
  181 │ 0.197882     0.0437774    0.169236      0.0217381    0.0723218     0.117347   0.10063     0.112566        0.91875      1.0                          1
  182 │ 0.193831     0.0290323    0.175027      0.0          0.0526303     0.127919   0.117153    0.1102          0.91875      1.0                          1
  183 │ 0.204348     0.0448275    0.139754      0.0          0.0707225     0.129191   0.118828    0.101202        0.91875      1.0                          1
  184 │ 0.176822     0.0467394    0.154241      0.0          0.0761131     0.103018   0.103859    0.104968        0.91875      1.0                          1
  185 │ 0.170148     0.043181     0.143475      0.00916843   0.0258139     0.0638681  0.180151    0.173343        0.91875      1.0                          1
  186 │ 0.147071     0.0347489    0.160767      0.0366145    0.0211966     0.0574206  0.180592    0.176812        0.91875      0.96875                      0
  187 │ 0.169382     0.0407848    0.15912       0.0208254    0.00528328    0.0685349  0.201043    0.165804        0.91875      0.96875                      0
  188 │ 0.083637     0.0672903    0.19471       0.18365      0.14762       0.121587   0.114458    0.0518233       0.91875      1.0                          1
  189 │ 0.182132     0.0580376    0.185088      0.18384      0.192374      0.175365   0.0712723   0.0618364       0.91875      0.96875                      0
  190 │ 0.0793761    0.0447368    0.0219743     0.0662774    0.16669       0.181685   0.0687265   0.0788198       0.91875      1.0                          2
