Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  119 │ 0.183019   0.0434547    0.102514      0.0166018    0.145694      0.154155   0.0369364    0.0522885      0.885417     1.0                          1
  120 │ 0.220011   0.0441429    0.149418      0.0288386    0.0780492     0.135581   0.11347      0.104608       0.885417     0.9375                       0
  121 │ 0.142508   0.0180314    0.109874      0.0365145    0.156016      0.167456   0.0925161    0.0715694      0.885417     0.9375                       0
  122 │ 0.178113   0.152334     0.13321       0.0693316    0.142728      0.172      0.0902002    0.075095       0.885417     0.96875                      0
  123 │ 0.210762   0.0264394    0.144128      0.0207824    0.0738764     0.133735   0.11654      0.0861329      0.885417     0.90625                      0
  124 │ 0.139462   0.0          0.101162      0.0313601    0.138971      0.141538   0.0916437    0.0729306      0.885417     0.96875                      0
  125 │ 0.180551   0.0391644    0.0813936     0.012816     0.13638       0.162811   0.0249643    0.0432205      0.885417     0.9375                       0
  126 │ 0.139937   0.00590108   0.108496      0.0753115    0.166229      0.169839   0.0796397    0.0717472      0.885417     0.90625                      0
  127 │ 0.0308424  0.0          0.174922      0.0334343    0.116147      0.159362   0.0285779    0.0545277      0.885417     0.9375                       0
  128 │ 0.21654    0.0343541    0.151098      0.00427758   0.0582011     0.119902   0.108557     0.0873245      0.885417     0.96875                      0
  129 │ 0.131899   0.0162526    0.0982289     0.0288738    0.13049       0.166158   0.0861393    0.0728522      0.885417     0.96875                      0
  130 │ 0.136688   0.0          0.0920317     0.0329429    0.149987      0.170045   0.0903443    0.0801243      0.885417     0.9375                       0
  131 │ 0.133273   0.0501574    0.149826      0.0454608    0.0377738     0.15911    0.0813088    0.0908113      0.885417     0.9375                       0
  132 │ 0.168815   0.0446392    0.0906554     0.0451296    0.164093      0.195461   0.0318134    0.0630387      0.885417     0.9375                       0
  133 │ 0.0805543  0.0878583    0.0817534     0.114886     0.181435      0.131859   0.153276     0.0815079      0.885417     0.9375                       0
  134 │ 0.183914   0.0426924    0.0942495     0.0235108    0.14543       0.16501    0.0191002    0.02691        0.883333     0.90625                      0
  135 │ 0.199816   0.0337146    0.155786      0.00801074   0.0810914     0.129804   0.10903      0.0892618      0.883333     0.90625                      0
  136 │ 0.151596   0.00780783   0.107851      0.084448     0.170711      0.169334   0.0709026    0.0692643      0.883333     1.0                          1
  137 │ 0.17328    0.0602325    0.0731577     0.025282     0.128148      0.166854   0.0360278    0.0365109      0.883333     1.0                          1
  138 │ 0.126454   0.0          0.137541      0.0573399    0.127609      0.158828   0.0616694    0.040001       0.883333     0.96875                      0
  139 │ 0.127223   0.00475255   0.137709      0.0322944    0.086455      0.194133   0.0922601    0.120857       0.883333     0.9375                       0
  140 │ 0.175538   0.0421599    0.0912056     0.0147985    0.159641      0.154693   0.0242573    0.0271427      0.883333     0.9375                       0
  141 │ 0.161922   0.0710991    0.0898309     0.0392032    0.143016      0.172573   0.017483     0.0339619      0.883333     1.0                          1
  142 │ 0.187471   0.170005     0.164526      0.0          0.109897      0.0930135  0.031413     0.0342279      0.883333     0.9375                       0
  143 │ 0.0936995  0.0435047    0.150804      0.00585151   0.149129      0.104172   0.0631827    0.0463994      0.883333     0.96875                      0
  144 │ 0.168297   0.0498964    0.185335      0.00512242   0.0514941     0.126528   0.134614     0.0972553      0.883333     0.90625                      0
  145 │ 0.0740474  0.00612429   0.00833481    0.176064     0.156694      0.186403   0.143016     0.0748387      0.883333     0.90625                      0
  146 │ 0.182333   0.122338     0.123909      0.146437     0.0965279     0.187423   0.0794977    0.00690045     0.883333     0.96875                      0
  147 │ 0.114032   0.0379206    0.136023      0.0568697    0.0603128     0.182451   0.109844     0.0755928      0.883333     0.9375                       0
  148 │ 0.138494   0.0689698    0.18203       0.00902343   0.180913      0.123185   0.0799967    0.0968453      0.883333     0.96875                      0
