Starting random search with 32 workers on 50000 parameter combinations...

=== Random Search Results ===
Total experiments: 50000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule   NewInput     RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64     Float64      Float64      Float64      Float64      Float64     UInt16
──────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  181 │ 0.0467611    0.149935     0.0964957     0.190559     0.0791091   0.13798      0.0503876    0.0848171       0.88125      0.96875                      0
  182 │ 0.07847      0.0963017    0.0674349     0.0169494    0.141948    0.0884542    0.195495     0.105714        0.88125      0.96875                      0
  183 │ 0.0464581    0.192649     0.18975       0.155006     0.128805    0.161076     0.153248     0.0782252       0.879167     0.90625                      0
  184 │ 0.0193682    0.0201758    0.0385452     0.0192524    0.0266929   0.0866636    0.18668      0.0827714       0.879167     0.90625                      0
  185 │ 0.149438     0.0973558    0.103367      0.0376461    0.193783    0.192398     0.0744654    0.0581831       0.879167     0.9375                       0
  186 │ 0.137709     0.168275     0.0374858     0.0170658    0.148254    0.143464     0.169135     0.132737        0.879167     0.96875                      0
  187 │ 0.0165237    0.105913     0.14001       0.0998652    0.0195913   0.125705     0.120142     0.0415902       0.879167     0.90625                      0
  188 │ 0.0741365    0.130543     0.11018       0.188355     0.176684    0.0949003    0.178439     0.0403538       0.879167     0.90625                      0
  189 │ 0.187079     0.0400753    0.140785      0.158297     0.0452911   0.197063     0.0807653    0.0886255       0.879167     0.9375                       0
  190 │ 0.100385     0.0650028    0.0324793     0.163445     0.0697911   0.131045     0.0029386    0.0366177       0.879167     0.96875                      0
  191 │ 0.0918189    0.0340946    0.0545718     0.0644165    0.146941    0.162846     0.189758     0.041291        0.879167     0.9375                       0
  192 │ 0.16842      0.0579038    0.0939179     0.0167184    0.146243    0.169727     0.0173037    0.0375007       0.879167     0.9375                       0
